company,sector,website,country,opportunity_type,source,source_url,source_type,signals,tech_stack,buying_intent_signals,partnership_signals,fit_score,intent_score,partner_score,risk_score,priority,decision_roles,suggested_channel,recommended_action,first_message_angle,objection_prediction,offer_recommended,next_action,next_action_date,status,owner,notes
ZimlaTech,HR Tech,zimla.com.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi HR tech,unknown,55,40,35,LOW,P2,Founder,LINKEDIN_MANUAL,RESEARCH_MORE,HR B2B sales,price,Pilot,RESEARCH_MORE,,queued,sami,
Oqba,Logistics,oqba.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi logistics B2B,unknown,58,45,40,LOW,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,Quote automation,crm exists,Pilot 1 SAR,PREPARE_DM,,queued,sami,
Naqel,Logistics,naqelexpress.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi shipping,unknown,50,35,30,MEDIUM,P2,BD head,EMAIL,RESEARCH_MORE,Enterprise B2B,slow,Enterprise,RESEARCH_MORE,,queued,sami,
Zajil,Logistics,zajil-express.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi courier,unknown,50,35,30,MEDIUM,P2,BD head,EMAIL,RESEARCH_MORE,B2B quotes,slow,Pilot,RESEARCH_MORE,,queued,sami,
Saudi Ports Authority,Logistics,mawani.gov.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Gov ports,unknown,35,20,15,HIGH,P2,BD head,EMAIL,HOLD_FOR_APPROVAL,Gov — complex,gov,Hold,HOLD_FOR_APPROVAL,,queued,sami,"Skip — gov"
Mrsool,Last-mile,mrsool.co,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi delivery platform,unknown,62,48,42,LOW,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,Merchant acquisition AI,crm exists,Pilot 1 SAR,PREPARE_DM,,queued,sami,
HungerStation,Food Delivery,hungerstation.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi food delivery,unknown,55,42,38,LOW,P2,Merchant head,LINKEDIN_MANUAL,RESEARCH_MORE,Merchant acquisition,crm,Pilot,RESEARCH_MORE,,queued,sami,
Chikfila KSA,F&B,,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,F&B franchise,unknown,50,35,30,MEDIUM,P2,Marketing,EMAIL,RESEARCH_MORE,Franchise B2B,slow,Pilot,RESEARCH_MORE,,queued,sami,
Al Othaim,Retail,alothaim.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi retail group,unknown,50,35,30,MEDIUM,P2,BD head,EMAIL,RESEARCH_MORE,Retail B2B,slow,Enterprise,RESEARCH_MORE,,queued,sami,
Jarir Bookstore,Retail,jarir.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi retail enterprise,unknown,45,30,25,MEDIUM,P2,Digital head,EMAIL,RESEARCH_MORE,Retail B2B,slow,Enterprise,HOLD_FOR_APPROVAL,,queued,sami,
Al Rajhi Bank,Banking,alrajhibank.com.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi bank,unknown,35,20,15,HIGH,P2,Digital head,EMAIL,HOLD_FOR_APPROVAL,Regulated,bank,Hold,HOLD_FOR_APPROVAL,,queued,sami,"Skip — heavily regulated"
SABB,Banking,sabb.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi bank,unknown,35,20,15,HIGH,P2,Digital head,EMAIL,HOLD_FOR_APPROVAL,Regulated,bank,Hold,HOLD_FOR_APPROVAL,,queued,sami,"Skip"
Ajal,Fintech,ajal.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi fintech,unknown,60,45,40,LOW,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,Fintech B2B,ai quality,Pilot 1 SAR,PREPARE_DM,,queued,sami,
Cashify,Fintech,cashify.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi fintech,unknown,55,40,35,LOW,P2,Founder,LINKEDIN_MANUAL,RESEARCH_MORE,Fintech SDR,price,Pilot 1 SAR,RESEARCH_MORE,,queued,sami,
Morni,Roadside,morni.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi roadside assistance,unknown,55,40,35,LOW,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,B2B fleet sales,crm,Pilot 1 SAR,PREPARE_DM,,queued,sami,
Aoun,SaaS,aoun.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi SaaS B2B,unknown,60,45,40,LOW,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,Peer SaaS SDR,price,Pilot 1 SAR,PREPARE_DM,,queued,sami,
Beam,Mobility,ridebeam.com,Global-SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,E-scooter mobility in KSA,unknown,45,30,25,MEDIUM,P2,Regional BD,EMAIL,RESEARCH_MORE,Fleet B2B,slow,Pilot,RESEARCH_MORE,,queued,sami,
Eureka,SaaS,eurekatech.io,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi/MENA SaaS,unknown,60,45,40,LOW,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,Peer SaaS,ai quality,Pilot 1 SAR,PREPARE_DM,,queued,sami,
Dukkan,Retail,dukkan.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi commerce,unknown,58,45,40,LOW,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,Merchant B2B,crm,Pilot 1 SAR,PREPARE_DM,,queued,sami,
Morsal,HR Tech,morsal.com.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi recruitment tech,unknown,55,40,35,LOW,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,HR B2B SDR,price,Pilot 1 SAR,PREPARE_DM,,queued,sami,
Buyout,Fintech,buyout.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi fintech,unknown,55,40,35,LOW,P2,Founder,LINKEDIN_MANUAL,RESEARCH_MORE,Fintech B2B,trust,Pilot 1 SAR,RESEARCH_MORE,,queued,sami,
Qima,Legaltech,qima.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi legal SaaS,unknown,55,40,35,LOW,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,Legal B2B,arabic,Pilot 1 SAR,PREPARE_DM,,queued,sami,
Paymob,Fintech MENA,paymob.com,EG-SA,STRATEGIC_PARTNER,knowledge,,llm_knowledge,MENA payment gateway,unknown,70,55,65,LOW,P1,BD head,EMAIL,PREPARE_PARTNER_PITCH,Payment gateway partner,competing gateways,Partnership,PREPARE_PARTNER_PITCH,,queued,sami,"Strategic"
PayFort,Fintech MENA,payfort.com,AE-SA,STRATEGIC_PARTNER,knowledge,,llm_knowledge,MENA payment gateway (Amazon),unknown,65,50,60,MEDIUM,P2,BD head,EMAIL,PREPARE_PARTNER_PITCH,Gateway partner,Amazon-owned,Partnership,PREPARE_PARTNER_PITCH,,queued,sami,"Amazon-owned — slow"
Dokkan Afkar,Ecom,dokkanafkar.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi ecom,unknown,52,38,33,LOW,P2,Founder,LINKEDIN_MANUAL,RESEARCH_MORE,Merchant SDR,price,Pilot 1 SAR,PREPARE_DM,,queued,sami,
Ifham,EdTech,ifham.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi kids learning,unknown,50,35,30,LOW,P2,Founder,LINKEDIN_MANUAL,RESEARCH_MORE,EdTech admissions,price,Pilot 1 SAR,RESEARCH_MORE,,queued,sami,
Noon Food,Food Delivery,nooon.com,AE-SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Regional food delivery,unknown,55,42,38,LOW,P2,Regional BD,LINKEDIN_MANUAL,RESEARCH_MORE,Merchant B2B,crm,Pilot,RESEARCH_MORE,,queued,sami,
